Aae-Bantam_pre	MI0013439
Aca-Mir-103-P3_pre	MI0018714
Aca-Mir-122_pre	MI0018719
Aca-Mir-124-P1-v1_pre	MI0018723
Aca-Mir-124-P1-v2_pre	MI0018723
Aca-Mir-124-P2-v1_pre	MI0018720
Aca-Mir-124-P2-v2_pre	MI0018720
Aca-Mir-124-P3-v1_pre	MI0018721
Aca-Mir-124-P3-v2_pre	MI0018721
Aca-Mir-124-P4-v1_pre	MI0018722
Aca-Mir-124-P4-v2_pre	MI0018722
Aca-Mir-126-v1_pre	MI0018727
Aca-Mir-126-v2_pre	MI0018727
Aca-Mir-126-v3_pre	MI0018727
Aca-Mir-128-P1_pre	MI0018729
Aca-Mir-128-P2_pre	MI0018728
Aca-Mir-129-P1_pre	MI0018730
Aca-Mir-129-P2_pre	MI0018731
Aca-Mir-130-P1a_pre	MI0018733
Aca-Mir-130-P1b_pre	MI0018735
Aca-Mir-130-P2a_pre	MI0018844
Aca-Mir-130-P2b_pre	MI0018845
Aca-Mir-130-P3a_pre	MI0018734
Aca-Mir-130-P3b_pre	MI0018736
Aca-Mir-130-P4b_pre	MI0018870
Aca-Mir-132-P1_pre	MI0018737
Aca-Mir-132-P2_pre	MI0018816
Aca-Mir-1329_pre	MI0018738
Aca-Mir-133-P1-v1_pre	MI0018739
Aca-Mir-133-P1-v2_pre	MI0018739
Aca-Mir-133-P2-v1_pre	MI0018740
Aca-Mir-133-P2-v2_pre	MI0018740
Aca-Mir-135-P1_pre	MI0018741
Aca-Mir-135-P2_pre	MI0018742
Aca-Mir-135-P3_pre	MI0018743
Aca-Mir-137-P1-v1_pre	MI0018744
Aca-Mir-137-P1-v2_pre	MI0018744
Aca-Mir-137-P2_pre	MI0018745
Aca-Mir-138-P1_pre	MI0018747
Aca-Mir-138-P2_pre	MI0018746
Aca-Mir-1388_pre	MI0018748
Aca-Mir-1397_pre	MI0018750
Aca-Mir-139_pre	MI0018749
Aca-Mir-140-v1_pre	MI0018751
Aca-Mir-140-v2_pre	MI0018751
Aca-Mir-142-P4-v1_pre	MI0018752
Aca-Mir-142-P4-v2_pre	MI0018752
Aca-Mir-142-P4-v3_pre	MI0018752
Aca-Mir-142-P4-v4_pre	MI0018752
Aca-Mir-143_pre	MI0018753
Aca-Mir-144_pre	MI0018754
Aca-Mir-145_pre	MI0018755
Aca-Mir-146-P2_pre	MI0018756
Aca-Mir-146-P3_pre	MI0018757
Aca-Mir-147-v1_pre	MI0018758
Aca-Mir-147-v2_pre	MI0018758
Aca-Mir-148-P1_pre	MI0018759
Aca-Mir-148-P3_pre	MI0018760
Aca-Mir-15-P1b_pre	MI0018766
Aca-Mir-15-P1d_pre	MI0018765
Aca-Mir-15-P2b_pre	MI0018770
Aca-Mir-15-P2c_pre	MI0018873
Aca-Mir-15-P2d_pre	MI0018771
Aca-Mir-150_pre	MI0018761
Aca-Mir-153-P1_pre	MI0018763
Aca-Mir-153-P2_pre	MI0018762
Aca-Mir-155_pre	MI0018764
Aca-Mir-1662_pre	MI0018767
Aca-Mir-1677-o1_pre	MI0018768
Aca-Mir-1677-o2_pre	MI0018769
Aca-Mir-17-P1a_pre	MI0018772
Aca-Mir-17-P2b_pre	MI0018784
Aca-Mir-17-P3a_pre	MI0018812
Aca-Mir-17-P3b_pre	MI0018813
Aca-Mir-1788_pre	MI0018773
Aca-Mir-1805_pre	MI0018774
Aca-Mir-181-P1a_pre	MI0018775
Aca-Mir-181-P1b_pre	MI0018776
Aca-Mir-181-P1c_pre	MI0018777
Aca-Mir-181-P2a_pre	MI0018779
Aca-Mir-181-P2b_pre	MI0018778
Aca-Mir-184_pre	MI0018781
Aca-Mir-187_pre	MI0018782
Aca-Mir-19-P1_pre	MI0018797
Aca-Mir-19-P2a_pre	MI0018798
Aca-Mir-190-P1_pre	MI0018785
Aca-Mir-190-P2_pre	MI0018786
Aca-Mir-191_pre	MI0018787
Aca-Mir-192-P2_pre	MI0018818
Aca-Mir-193-P1a_pre	MI0018788
Aca-Mir-193-P2a_pre	MI0018861
Aca-Mir-194-P1_pre	MI0018790
Aca-Mir-194-P2_pre	MI0018789
Aca-Mir-196-P1_pre	MI0018793
Aca-Mir-196-P2_pre	MI0018792
Aca-Mir-196-P3_pre	MI0018791
Aca-Mir-199-P1-v1_pre	MI0018796
Aca-Mir-199-P1-v2_pre	MI0018796
Aca-Mir-199-P1-v3_pre	MI0018796
Aca-Mir-199-P2-v1_pre	MI0018794
Aca-Mir-199-P2-v2_pre	MI0018794
Aca-Mir-199-P2-v3_pre	MI0018794
Aca-Mir-199-P3-v1_pre	MI0018795
Aca-Mir-199-P3-v2_pre	MI0018795
Aca-Mir-199-P3-v3_pre	MI0018795
Aca-Mir-202_pre	MI0018804
Aca-Mir-203-v1_pre	MI0018805
Aca-Mir-203-v2_pre	MI0018805
Aca-Mir-204-P1_pre	MI0018807
Aca-Mir-204-P2_pre	MI0018806
Aca-Mir-205-P1_pre	MI0018808
Aca-Mir-205-P2_pre	MI0018809
Aca-Mir-208-P1_pre	MI0018811
Aca-Mir-210_pre	MI0018815
Aca-Mir-214-v1_pre	MI0018817
Aca-Mir-214-v2_pre	MI0018817
Aca-Mir-216-P1a_pre	MI0018819
Aca-Mir-216-P1b_pre	MI0018820
Aca-Mir-217-v1_pre	MI0018821
Aca-Mir-217-v2_pre	MI0018821
Aca-Mir-218-P1_pre	MI0018822
Aca-Mir-218-P2_pre	MI0018823
Aca-Mir-2188_pre	MI0018824
Aca-Mir-219-P1_pre	MI0018826
Aca-Mir-219-P2_pre	MI0018825
