Aae-Bantam_pre	MI0013439
Cfa-Mir-187_pre	MI0010338
Cfa-Mir-188-P1_pre	MI0010379
Cfa-Mir-188-P2_pre	MI0008184
Cfa-Mir-188-P3_pre	MI0008186
Cfa-Mir-19-P1_pre	MI0008051
Cfa-Mir-19-P2a_pre	MI0008054
Cfa-Mir-19-P2b_pre	MI0008174
Cfa-Mir-190-P1_pre	MI0010369
Cfa-Mir-190-P2_pre	MI0010370
Cfa-Mir-191_pre	MI0008037
Cfa-Mir-192-P1_pre	MI0008031
Cfa-Mir-192-P2_pre	MI0010343
Cfa-Mir-193-P1a_pre	MI0008159
Cfa-Mir-193-P1b_pre	MI0008113
Cfa-Mir-193-P2a_pre	MI0001647
Cfa-Mir-193-P2b_pre	MI0001657
Cfa-Mir-194-P2_pre	MI0008091
Cfa-Mir-196-P1_pre	MI0010360
Cfa-Mir-196-P2_pre	MI0008068
Cfa-Mir-196-P3_pre	MI0008016
Cfa-Mir-197_pre	MI0008112
Cfa-Mir-199-P1-v1_pre	MI0008151
Cfa-Mir-199-P1-v2_pre	MI0008151
Cfa-Mir-199-P1-v3_pre	MI0008151
Cfa-Mir-199-P2-v1_pre	MI0008042
Cfa-Mir-199-P2-v2_pre	MI0008042
Cfa-Mir-199-P2-v3_pre	MI0008042
Cfa-Mir-199-P3-v1_pre	MI0008124
Cfa-Mir-199-P3-v2_pre	MI0008124
Cfa-Mir-199-P3-v3_pre	MI0008124
Cfa-Mir-202_pre	MI0010339
Cfa-Mir-203-v1_pre	MI0010363
Cfa-Mir-203-v2_pre	MI0010363
Cfa-Mir-204-P1_pre	MI0007993
Cfa-Mir-204-P2_pre	MI0010373
Cfa-Mir-205-P1_pre	MI0010340
Cfa-Mir-208-P1_pre	MI0010365
Cfa-Mir-208-P2_pre	MI0010366
Cfa-Mir-210_pre	MI0010341
Cfa-Mir-2114_pre	MI0028029
Cfa-Mir-214-v1_pre	MI0010342
Cfa-Mir-214-v2_pre	MI0010342
Cfa-Mir-216-P1a_pre	MI0010344
Cfa-Mir-216-P1b_pre	MI0007987
Cfa-Mir-217-v1_pre	MI0010345
Cfa-Mir-217-v2_pre	MI0010345
Cfa-Mir-218-P1_pre	MI0008079
Cfa-Mir-218-P2_pre	MI0008097
Cfa-Mir-219-P1_pre	MI0008007
Cfa-Mir-219-P2_pre	MI0008150
Cfa-Mir-21_pre	MI0008165
Cfa-Mir-22-P1a_pre	MI0008157
Cfa-Mir-221-P1_pre	MI0008183
Cfa-Mir-221-P2_pre	MI0010346
Cfa-Mir-223_pre	MI0010347
Cfa-Mir-224_pre	MI0008168
Cfa-Mir-23-P1_pre	MI0008039
Cfa-Mir-23-P2_pre	MI0008008
Cfa-Mir-2387_pre	MI0027966
Cfa-Mir-24-P1_pre	MI0008041
Cfa-Mir-24-P2_pre	MI0008010
Cfa-Mir-2483_pre	MI0028023
Cfa-Mir-26-P1_pre	MI0008088
Cfa-Mir-26-P2_pre	MI0007990
Cfa-Mir-26-P3_pre	MI0008058
Cfa-Mir-27-P1_pre	MI0008040
Cfa-Mir-27-P2_pre	MI0008009
Cfa-Mir-28-P1_pre	MI0008082
Cfa-Mir-28-P2_pre	MI0008011
Cfa-Mir-28-P3_pre	MI0008043
Cfa-Mir-29-P1a_pre	MI0008022
Cfa-Mir-29-P1b3_pre	MI0008122
Cfa-Mir-29-P2a_pre	MI0008021
Cfa-Mir-29-P2b-v1_pre	MI0008121
Cfa-Mir-29-P2b-v2_pre	MI0008121
Cfa-Mir-30-P1a_pre	MI0008000
Cfa-Mir-30-P1b_pre	MI0008023
Cfa-Mir-30-P1c_pre	MI0008012
Cfa-Mir-30-P2a_pre	MI0008001
Cfa-Mir-30-P2b_pre	MI0008024
Cfa-Mir-30-P2c_pre	MI0008013
Cfa-Mir-31_pre	MI0007994
Cfa-Mir-324_pre	MI0010395
Cfa-Mir-325_pre	MI0010396
Cfa-Mir-326_pre	MI0010393
Cfa-Mir-328_pre	MI0008099
Cfa-Mir-32_pre	MI0007992
Cfa-Mir-33-P1_pre	MI0007988
Cfa-Mir-33-P2_pre	MI0010358
Cfa-Mir-330-v1_pre	MI0010392
Cfa-Mir-330-v2_pre	MI0010392
Cfa-Mir-331_pre	MI0010394
Cfa-Mir-335_pre	MI0008020
Cfa-Mir-338-P1_pre	MI0008163
Cfa-Mir-339_pre	MI0008115
Cfa-Mir-34-P1_pre	MI0008101
Cfa-Mir-34-P2a-v1_pre	MI0010332
Cfa-Mir-34-P2a-v2_pre	MI0010332
Cfa-Mir-34-P2b_pre	MI0008106
Cfa-Mir-34-P3a_pre	MI0001651
Cfa-Mir-34-P3b_pre	MI0028007
Cfa-Mir-340_pre	MI0010391
Cfa-Mir-342_pre	MI0008128
Cfa-Mir-345_pre	MI0008129
Cfa-Mir-346_pre	MI0010397
Cfa-Mir-350_pre	MI0008120
Cfa-Mir-361-v1_pre	MI0008177
Cfa-Mir-361-v2_pre	MI0008177
Cfa-Mir-362-P1_pre	MI0010385
Cfa-Mir-362-P2-v1_pre	MI0008185
Cfa-Mir-362-P2-v2_pre	MI0008185
Cfa-Mir-362-P4_pre	MI0008187
Cfa-Mir-370_pre	MI0010388
Cfa-Mir-374-P1_pre	MI0008179
Cfa-Mir-374-P2_pre	MI0008180
Cfa-Mir-375_pre	MI0010368
Cfa-Mir-376-P1_pre	MI0008143
Cfa-Mir-376-P2_pre	MI0008142
Cfa-Mir-376-P3_pre	MI0010386
Cfa-Mir-376-P4_pre	MI0010387
Cfa-Mir-376-P5_pre	MI0008141
Cfa-Mir-378_pre	MI0008093
Cfa-Mir-383-v1_pre	MI0008026
Cfa-Mir-383-v2_pre	MI0008026
Cfa-Mir-384_pre	MI0008178
Cfa-Mir-423_pre	MI0008166
Cfa-Mir-425_pre	MI0008038
Cfa-Mir-430-P1_pre	MI0010350
Cfa-Mir-430-P2_pre	MI0010351
Cfa-Mir-430-P3_pre	MI0010352
Cfa-Mir-430-P4_pre	MI0010353
Cfa-Mir-430-P5d1_pre	MI0007996
Cfa-Mir-432_pre	MI0010403
Cfa-Mir-433_pre	MI0008131
Cfa-Mir-448_pre	MI0001640
Cfa-Mir-450-P1_pre	MI0001655
Cfa-Mir-450-P3_pre	MI0008172
Cfa-Mir-451_pre	MI0010367
Cfa-Mir-452-v1_pre	MI0010399
Cfa-Mir-452-v2_pre	MI0010399
Cfa-Mir-455_pre	MI0007999
Cfa-Mir-459_pre	MI0010427
Cfa-Mir-483_pre	MI0010400
Cfa-Mir-486_pre	MI0008027
Cfa-Mir-488_pre	MI0010402
Cfa-Mir-489_pre	MI0010355
Cfa-Mir-490_pre	MI0010372
Cfa-Mir-491_pre	MI0007997
Cfa-Mir-493_pre	MI0008130
Cfa-Mir-499_pre	MI0008059
Cfa-Mir-504-v1_pre	MI0010406
Cfa-Mir-504-v2_pre	MI0010406
Cfa-Mir-505-v1_pre	MI0010407
Cfa-Mir-505-v2_pre	MI0010407
Cfa-Mir-506-P1_pre	MI0028024
Cfa-Mir-506-P2d_pre	MI0028035
Cfa-Mir-506-P2e_pre	MI0028017
Cfa-Mir-506-P3a_pre	MI0028020
Cfa-Mir-506-P3b_pre	MI0028027
Cfa-Mir-506-P7_pre	MI0010375
Cfa-Mir-542-v1_pre	MI0008171
Cfa-Mir-542-v2_pre	MI0008171
Cfa-Mir-544-P1_pre	MI0010409
Cfa-Mir-551-P1_pre	MI0010411
Cfa-Mir-551-P2_pre	MI0010412
Cfa-Mir-574_pre	MI0008080
Cfa-Mir-582_pre	MI0010415
Cfa-Mir-590_pre	MI0008114
Cfa-Mir-592_pre	MI0010417
Cfa-Mir-599_pre	MI0010418
Cfa-Mir-615_pre	MI0010419
Cfa-Mir-628_pre	MI0010420
Cfa-Mir-6529_pre	MI0027868
Cfa-Mir-652_pre	MI0008167
Cfa-Mir-653_pre	MI0010423
Cfa-Mir-671_pre	MI0010425
Cfa-Mir-676_pre	MI0008188
Cfa-Mir-7-P1_pre	MI0008033
Cfa-Mir-7-P2_pre	MI0008085
Cfa-Mir-7-P3_pre	MI0010330
Cfa-Mir-7180_pre	MI0027979
Cfa-Mir-769_pre	MI0027998
Cfa-Mir-8-P1a_pre	MI0010362
Cfa-Mir-8-P1b_pre	MI0010374
Cfa-Mir-8-P2a_pre	MI0010361
Cfa-Mir-8-P2b_pre	MI0008070
Cfa-Mir-8-P3a_pre	MI0001644
Cfa-Mir-874_pre	MI0010429
Cfa-Mir-875_pre	MI0010430
Cfa-Mir-876_pre	MI0010431
Cfa-Mir-8859-P1_pre	MI0027950
Cfa-Mir-8859-P2_pre	MI0027954
Cfa-Mir-885_pre	MI0010432
Cfa-Mir-8902_pre	MI0028013
Cfa-Mir-8908-P1a1_pre	MI0028030
Cfa-Mir-8908-P1a2_pre	MI0028038
Cfa-Mir-8908-P1b_pre	MI0028034
Cfa-Mir-8908-P1c_pre	MI0028039
Cfa-Mir-8908-P2a_pre	MI0028016
Cfa-Mir-8908-P3a_pre	MI0028037
Cfa-Mir-8908-P4a1_pre	MI0028036
Cfa-Mir-8908-P4a2_pre	MI0028021
Cfa-Mir-8908-P4b_pre	MI0028022
Cfa-Mir-8908-P5_pre	MI0028028
Cfa-Mir-8908-P6_pre	MI0028019
Cfa-Mir-9-P1_pre	MI0008125
Cfa-Mir-9-P2_pre	MI0008081
Cfa-Mir-9-P3_pre	MI0008086
Cfa-Mir-92-P1a_pre	MI0008055
Cfa-Mir-92-P1b_pre	MI0008175
Cfa-Mir-92-P1c_pre	MI0008119
Cfa-Mir-92-P2a_pre	MI0010354
Cfa-Mir-92-P2b_pre	MI0008176
Cfa-Mir-92-P2c_pre	MI0008111
Cfa-Mir-95-P1_pre	MI0010376
Cfa-Mir-95-P2_pre	MI0008181
Cfa-Mir-95-P3-v1_pre	MI0010410
Cfa-Mir-95-P3-v2_pre	MI0010410
Cfa-Mir-96-P1_pre	MI0010356
Cfa-Mir-96-P2_pre	MI0010336
Cfa-Mir-96-P3-v1_pre	MI0008017
Cfa-Mir-96-P3-v2_pre	MI0008017
Cin-Let-7-P1_pre	MI0007153
Cin-Let-7-P2o1_pre	MI0007149
Cin-Let-7-P2o2_pre	MI0015777
Cin-Let-7-P2o3_pre	MI0007151
Cin-Let-7-P2o4_pre	MI0007152
Cin-Let-7-P2o5_pre	MI0007150
Cin-Mir-10-P2_pre	MI0007129
Cin-Mir-10-P3_pre	MI0015487
Cin-Mir-124-P17_pre	MI0007164
Cin-Mir-124-P18_pre	MI0007165
Cin-Mir-126-v1_pre	MI0007166
Cin-Mir-126-v2_pre	MI0007166
Cin-Mir-133_pre	MI0007167
Cin-Mir-135-P7_pre	MI0015497
Cin-Mir-135-P8_pre	MI0015489
Cin-Mir-1497_pre	MI0007130
Cin-Mir-15-P1_pre	MI0015483
Cin-Mir-15-P2_pre	MI0015610
Cin-Mir-1502-P1_pre	MI0015541
Cin-Mir-1502-P2_pre	MI0015542
Cin-Mir-1502-P3_pre	MI0015543
Cin-Mir-1502-P4_pre	MI0015544
Cin-Mir-153_pre	MI0007169
Cin-Mir-184_pre	MI0007173
Cin-Mir-196_pre	MI0015491
Cin-Mir-1_pre	MI0015480
Cin-Mir-219_pre	MI0007178
Cin-Mir-281_pre	MI0007179
Cin-Mir-29-P1_pre	MI0015485
Cin-Mir-31_pre	MI0007156
Cin-Mir-33_pre	MI0007157
Cin-Mir-34_pre	MI0007158
Cin-Mir-3598_pre	MI0015484
Cin-Mir-3599_pre	MI0015488
Cin-Mir-375_pre	MI0015493
Cin-Mir-4000-P10_pre	MI0015502
Cin-Mir-4000-P11_pre	MI0015505
Cin-Mir-4000-P1a_pre	MI0015500
Cin-Mir-4000-P1b_pre	MI0015500
Cin-Mir-4000-P2_pre	MI0015499
Cin-Mir-4000-P3_pre	MI0015501
Cin-Mir-4000-P4_pre	MI0015508
Cin-Mir-4000-P5_pre	MI0015498
Cin-Mir-4000-P6_pre	MI0015504
Cin-Mir-4000-P7_pre	MI0015507
Cin-Mir-4000-P8_pre	MI0015506
Cin-Mir-4000-P9_pre	MI0015509
Cin-Mir-4003-P1a_pre	MI0015522
Cin-Mir-4003-P1c_pre	MI0015525
Cin-Mir-4003-P1d_pre	MI0015526
Cin-Mir-4003-P1e_pre	MI0015528
Cin-Mir-4003-P2a_pre	MI0015529
Cin-Mir-4003-P3_pre	MI0015524
Cin-Mir-4010-P1_pre	MI0015551
Cin-Mir-4010-P2_pre	MI0015551
Cin-Mir-4011-P1_pre	MI0015553
Cin-Mir-4011-P2_pre	MI0015554
Cin-Mir-4013-P1_pre	MI0015557
Cin-Mir-4013-P2_pre	MI0015558
Cin-Mir-4014-P1_pre	MI0015559
Cin-Mir-4014-P2_pre	MI0015560
Cin-Mir-4015-P1_pre	MI0015561
Cin-Mir-4015-P2_pre	MI0015562
Cin-Mir-4017-P1_pre	MI0015565
Cin-Mir-4017-P2_pre	MI0015566
Cin-Mir-4018-P1_pre	MI0015568
Cin-Mir-4018-P2_pre	MI0015569
Cin-Mir-4029_pre	MI0015580
Cin-Mir-4030_pre	MI0015581
Cin-Mir-4031_pre	MI0015582
Cin-Mir-4032_pre	MI0015583
Cin-Mir-4033_pre	MI0015584
Cin-Mir-4034_pre	MI0015585
Cin-Mir-4036_pre	MI0015587
Cin-Mir-4037_pre	MI0015588
Cin-Mir-4039_pre	MI0015590
Cin-Mir-4040_pre	MI0015591
Cin-Mir-4041_pre	MI0015592
Cin-Mir-4043_pre	MI0015594
Cin-Mir-4044_pre	MI0015595
Cin-Mir-4045_pre	MI0015596
Cin-Mir-4046_pre	MI0015597
Cin-Mir-4047_pre	MI0015598
Cin-Mir-4048_pre	MI0015599
Cin-Mir-4050_pre	MI0015601
Cin-Mir-4052_pre	MI0015603
Cin-Mir-4053_pre	MI0015604
Cin-Mir-4054_pre	MI0015605
Cin-Mir-4055_pre	MI0015606
Cin-Mir-4057_pre	MI0015608
Cin-Mir-4060_pre	MI0015611
Cin-Mir-4061_pre	MI0015612
Cin-Mir-4062_pre	MI0015613
Cin-Mir-4063_pre	MI0015614
Cin-Mir-4065_pre	MI0015616
Cin-Mir-4067_pre	MI0015618
Cin-Mir-4068_pre	MI0015619
Cin-Mir-4070_pre	MI0015621
Cin-Mir-4071_pre	MI0015622
Cin-Mir-4073_pre	MI0015624
Cin-Mir-4076_pre	MI0015627
Cin-Mir-4077-P1_pre	MI0015628
Cin-Mir-4077-P2_pre	MI0015629
Cin-Mir-4077-P3_pre	MI0015630
Cin-Mir-4077-P4_pre	MI0015656
Cin-Mir-4078_pre	MI0015631
Cin-Mir-4079_pre	MI0015632
Cin-Mir-4081_pre	MI0015634
Cin-Mir-4085_pre	MI0015638
Cin-Mir-4086_pre	MI0015639
Cin-Mir-4092_pre	MI0015645
Cin-Mir-4093_pre	MI0015646
Cin-Mir-4127_pre	MI0015682
Cin-Mir-4179_pre	MI0019170
Cin-Mir-4200_pre	MI0015757
Cin-Mir-5600_pre	MI0019164
Cin-Mir-5601_pre	MI0019165
Cin-Mir-5610_pre	MI0019176
Cin-Mir-5611_pre	MI0019177
Cin-Mir-7_pre	MI0007155
Cin-Mir-8-P1_pre	MI0007168
Cin-Mir-8-P2-as_pre	MI0015481
Cin-Mir-8-P2_pre	MI0007175
Cin-Mir-92-o69_pre	MI0007161
Cin-Mir-92-o70_pre	MI0015495
Cin-Mir-92-o71_pre	MI0015589
Cin-Mir-92-o72_pre	MI0007160
Cin-Mir-92-o73_pre	MI0015496
Cin-Mir-92-o74_pre	MI0007162
Cin-Mir-92-o75_pre	MI0015492
Cin-Mir-92-o76_pre	MI0015550
Cin-Mir-92-o77_pre	MI0015548
Cin-Mir-92-o78_pre	MI0015549
Cin-Mir-96-P1_pre	MI0015486
Cin-Mir-96-P2_pre	MI0015490
Cin-Mir-96-P3_pre	MI0007172
Cin-Mir-9_pre	MI0015482
Cli-Let-7-P1a_pre	MI0029883
Cli-Let-7-P1c_pre	MI0029887
Cli-Let-7-P2a1_pre	MI0029882
Cli-Let-7-P2a2_pre	MI0029884
Cli-Let-7-P2a4_pre	MI0029889
Cli-Let-7-P2b1_pre	MI0029890
Cli-Let-7-P2b2_pre	MI0029886
Cli-Let-7-P2b4_pre	MI0029885
Cli-Let-7-P2c1_pre	MI0029888
Cli-Let-7-P2c2_pre	MI0029892
Cli-Let-7-P2c3_pre	MI0029891
Cli-Mir-1-P1_pre	MI0029893
Cli-Mir-1-P2_pre	MI0029894
Cli-Mir-1-P3_pre	MI0030013
Cli-Mir-1-P4_pre	MI0029895
Cli-Mir-10-P1a-v1_pre	MI0029903
Cli-Mir-10-P1a-v2_pre	MI0029903
Cli-Mir-10-P1b-v1_pre	MI0029904
Cli-Mir-10-P1b-v2_pre	MI0029904
Cli-Mir-10-P1c-v1_pre	MI0029905
Cli-Mir-10-P1c-v2_pre	MI0029905
Cli-Mir-10-P2a_pre	MI0029946
Cli-Mir-10-P2c_pre	MI0029945
Cli-Mir-10-P3a_pre	MI0029956
Cli-Mir-10-P3c_pre	MI0029957
Cli-Mir-101-P1-v1_pre	MI0029947
Cli-Mir-101-P1-v2_pre	MI0029947
Cli-Mir-101-P2-v1_pre	MI0029948
Cli-Mir-101-P2-v2_pre	MI0029948
Cli-Mir-103-P1_pre	MI0029949
Cli-Mir-103-P2_pre	MI0029950
Cli-Mir-103-P3_pre	MI0029952
Cli-Mir-122_pre	MI0029953
Cli-Mir-124-P2-v1_pre	MI0029954
Cli-Mir-124-P2-v2_pre	MI0029954
Cli-Mir-124-P3-v1_pre	MI0029955
Cli-Mir-124-P3-v2_pre	MI0029955
Cli-Mir-126-v1_pre	MI0029958
Cli-Mir-126-v2_pre	MI0029958
Cli-Mir-126-v3_pre	MI0029958
Cli-Mir-128-P1_pre	MI0029959
Cli-Mir-128-P2_pre	MI0029960
Cli-Mir-129-P1_pre	MI0029961
Cli-Mir-130-P2a_pre	MI0030026
Cli-Mir-130-P2b_pre	MI0030027
Cli-Mir-130-P3a_pre	MI0029962
Cli-Mir-130-P3b_pre	MI0029963
Cli-Mir-130-P4b_pre	MI0030047
Cli-Mir-1329_pre	MI0030063
Cli-Mir-133-P1-v1_pre	MI0029965
Cli-Mir-133-P1-v2_pre	MI0029965
Cli-Mir-133-P2-v1_pre	MI0029964
Cli-Mir-133-P2-v2_pre	MI0029964
Cli-Mir-133-P3-v1_pre	MI0029966
Cli-Mir-133-P3-v2_pre	MI0029966
Cli-Mir-135-P1_pre	MI0029968
Cli-Mir-135-P2_pre	MI0029969
Cli-Mir-135-P3_pre	MI0029970
Cli-Mir-137-P1-v1_pre	MI0029971
Cli-Mir-137-P1-v2_pre	MI0029971
Cli-Mir-137-P2_pre	MI0029972
Cli-Mir-138-P1_pre	MI0029973
Cli-Mir-138-P2_pre	MI0029974
Cli-Mir-1388_pre	MI0030064
Cli-Mir-139_pre	MI0029975
Cli-Mir-140-v1_pre	MI0029976
Cli-Mir-140-v2_pre	MI0029976
Cli-Mir-1416_pre	MI0030065
Cli-Mir-142-P3-v1_pre	MI0029977
Cli-Mir-142-P3-v2_pre	MI0029977
Cli-Mir-142-P3-v3_pre	MI0029977
Cli-Mir-142-P3-v4_pre	MI0029977
Cli-Mir-143_pre	MI0029978
Cli-Mir-1451_pre	MI0030066
Cli-Mir-145_pre	MI0029979
Cli-Mir-146-P1_pre	MI0029980
Cli-Mir-146-P2_pre	MI0029981
Cli-Mir-146-P3_pre	MI0029982
Cli-Mir-1467_pre	MI0030067
Cli-Mir-147_pre	MI0029983
Cli-Mir-148-P1_pre	MI0029984
Cli-Mir-148-P3_pre	MI0029985
Cli-Mir-15-P1a_pre	MI0029906
Cli-Mir-15-P1b_pre	MI0029907
Cli-Mir-15-P1d_pre	MI0029908
Cli-Mir-15-P2a_pre	MI0029909
Cli-Mir-15-P2b_pre	MI0029910
Cli-Mir-15-P2d_pre	MI0029911
Cli-Mir-153-P1_pre	MI0029986
Cli-Mir-153-P2_pre	MI0029987
Cli-Mir-1552_pre	MI0030069
Cli-Mir-1559_pre	MI0030070
Cli-Mir-155_pre	MI0029988
Cli-Mir-1641_pre	MI0030071
Cli-Mir-1662_pre	MI0030073
Cli-Mir-1677-P1_pre	MI0030074
Cli-Mir-1677-P4_pre	MI0030079
Cli-Mir-1677-P5_pre	MI0030082
Cli-Mir-17-P1a_pre	MI0029912
Cli-Mir-17-P1b_pre	MI0029951
Cli-Mir-17-P2a_pre	MI0029913
Cli-Mir-17-P2b_pre	MI0029914
Cli-Mir-17-P3a_pre	MI0029918
Cli-Mir-17-P3b_pre	MI0029919
Cli-Mir-1720_pre	MI0030075
Cli-Mir-1729_pre	MI0030076
Cli-Mir-1781_pre	MI0030077
Cli-Mir-1788_pre	MI0030080
Cli-Mir-1805_pre	MI0030084
Cli-Mir-181-P1a_pre	MI0029989
Cli-Mir-181-P1b_pre	MI0029990
Cli-Mir-181-P2a_pre	MI0029991
Cli-Mir-181-P2b_pre	MI0029992
Cli-Mir-184_pre	MI0029995
Cli-Mir-187_pre	MI0029996
Cli-Mir-19-P1_pre	MI0029915
Cli-Mir-19-P2a_pre	MI0029916
Cli-Mir-19-P2b_pre	MI0029917
Cli-Mir-192-P2_pre	MI0030016
Cli-Mir-193-P1b_pre	MI0029998
Cli-Mir-193-P2a_pre	MI0030036
Cli-Mir-193-P2b_pre	MI0030035
Cli-Mir-194-P2_pre	MI0029999
Cli-Mir-196-P1_pre	MI0030000
Cli-Mir-196-P2_pre	MI0030001
Cli-Mir-196-P3_pre	MI0030002
Cli-Mir-199-P1-v1_pre	MI0030004
Cli-Mir-199-P1-v2_pre	MI0030004
Cli-Mir-199-P1-v3_pre	MI0030004
Cli-Mir-199-P3-v1_pre	MI0030003
Cli-Mir-199-P3-v2_pre	MI0030003
Cli-Mir-199-P3-v3_pre	MI0030003
Cli-Mir-202_pre	MI0030007
Cli-Mir-204-P1_pre	MI0030008
Cli-Mir-204-P2_pre	MI0030009
Cli-Mir-204-P3_pre	MI0030010
Cli-Mir-205-P1_pre	MI0030011
Cli-Mir-210_pre	MI0030014
Cli-Mir-2131_pre	MI0030085
Cli-Mir-214-v1_pre	MI0030015
Cli-Mir-214-v2_pre	MI0030015
Cli-Mir-216-P1a_pre	MI0030017
Cli-Mir-216-P1b_pre	MI0030018
Cli-Mir-217-v1_pre	MI0030019
Cli-Mir-217-v2_pre	MI0030019
Cli-Mir-218-P1_pre	MI0030020
Cli-Mir-218-P2_pre	MI0030021
Cli-Mir-2188_pre	MI0030086
Cli-Mir-21_pre	MI0029920
Cli-Mir-22-P1a_pre	MI0029921
Cli-Mir-221-P1_pre	MI0030022
Cli-Mir-221-P2_pre	MI0030023
Cli-Mir-221-P3_pre	MI0030024
Cli-Mir-223_pre	MI0030025
Cli-Mir-23-P2_pre	MI0029922
Cli-Mir-26-P1_pre	MI0029924
Cli-Mir-26-P3_pre	MI0029923
Cli-Mir-27-P2_pre	MI0029925
Cli-Mir-29-P1a_pre	MI0029926
Cli-Mir-29-P1b_pre	MI0029927
Cli-Mir-29-P2a_pre	MI0029928
Cli-Mir-29-P2b-v1_pre	MI0029929
Cli-Mir-29-P2b-v2_pre	MI0029929
Cli-Mir-2954_pre	MI0030087
Cli-Mir-2970_pre	MI0030088
Cli-Mir-2984_pre	MI0030089
Cli-Mir-30-P1a_pre	MI0029930
Cli-Mir-30-P1b_pre	MI0029934
Cli-Mir-30-P1c_pre	MI0029933
Cli-Mir-30-P2a_pre	MI0029932
Cli-Mir-30-P2b_pre	MI0029931
Cli-Mir-31_pre	MI0029935
Cli-Mir-32_pre	MI0029936
Cli-Mir-33-P1_pre	MI0029937
Cli-Mir-33-P2_pre	MI0029938
Cli-Mir-338-P1_pre	MI0030033
Cli-Mir-338-P2_pre	MI0030032
Cli-Mir-34-P1_pre	MI0029939
Cli-Mir-34-P2a_pre	MI0029940
Cli-Mir-34-P2b_pre	MI0029941
Cli-Mir-34-P3a_pre	MI0030042
Cli-Mir-34-P3b_pre	MI0030043
Cli-Mir-34-P3c_pre	MI0030044
Cli-Mir-34-P3d_pre	MI0030045
Cli-Mir-375_pre	MI0030038
Cli-Mir-383-v1_pre	MI0030039
Cli-Mir-383-v2_pre	MI0030039
Cli-Mir-425_pre	MI0030040
Cli-Mir-430-P1_pre	MI0030028
Cli-Mir-430-P2_pre	MI0030029
Cli-Mir-430-P3_pre	MI0030031
Cli-Mir-430-P4_pre	MI0030030
Cli-Mir-451_pre	MI0030046
Cli-Mir-455_pre	MI0030048
Cli-Mir-456_pre	MI0030049
Cli-Mir-458_pre	MI0030050
Cli-Mir-459_pre	MI0030051
Cli-Mir-489-v1_pre	MI0030054
Cli-Mir-489-v2_pre	MI0030054
Cli-Mir-499_pre	MI0030056
Cli-Mir-551-P1_pre	MI0030057
Cli-Mir-551-P2_pre	MI0030058
Cli-Mir-599_pre	MI0030059
Cli-Mir-7-P1_pre	MI0029896
Cli-Mir-7-P2_pre	MI0029897
Cli-Mir-7-P3_pre	MI0029898
Cli-Mir-7-P4_pre	MI0029899
Cli-Mir-737_pre	MI0030060
Cli-Mir-8-P1a_pre	MI0030005
Cli-Mir-8-P2a_pre	MI0030006
Cli-Mir-8-P3a_pre	MI0030041
Cli-Mir-875_pre	MI0030061
Cli-Mir-9-P1_pre	MI0029900
Cli-Mir-9-P2_pre	MI0029901
Cli-Mir-9-P4_pre	MI0029902
Cli-Mir-92-P1a_pre	MI0029942
Cli-Mir-92-P1b_pre	MI0029943
Cli-Mir-92-P2a_pre	MI0030037
Cli-Mir-92-P2b_pre	MI0030034
Cli-Mir-96-P1_pre	MI0029944
Cli-Mir-96-P2_pre	MI0029993
Cli-Mir-96-P3-v1_pre	MI0029994
Cli-Mir-96-P3-v2_pre	MI0029994
Cli-Mir-9616_pre	MI0030093
Cli-Mir-9619_pre	MI0030096
Cli-Mir-9621_pre	MI0030098
Cli-Mir-9622_pre	MI0030101
Cli-Mir-9623_pre	MI0030102
Cli-Mir-9625_pre	MI0030104
Cli-Mir-9627_pre	MI0030106
Cli-Mir-9631_pre	MI0030110
Cli-Mir-9633_pre	MI0030112
Cli-Mir-9634_pre	MI0030114
Cli-Mir-9636_pre	MI0030116
Cli-Mir-9640_pre	MI0030120
Cli-Mir-9643_pre	MI0030123
Cli-Mir-9644_pre	MI0030124
Cli-Mir-9646_pre	MI0030126
Cli-Mir-9648_pre	MI0030128
Cpi-Let-7-P1a_pre	MI0029372
Cpi-Let-7-P1b_pre	MI0029377
Cpi-Let-7-P1c_pre	MI0029376
Cpi-Let-7-P2a1_pre	MI0029371
Cpi-Let-7-P2a2_pre	MI0029373
Cpi-Let-7-P2a3_pre	MI0029380
Cpi-Let-7-P2a4_pre	MI0029379
Cpi-Let-7-P2b1_pre	MI0029381
Cpi-Let-7-P2b2_pre	MI0029375
Cpi-Let-7-P2b3_pre	MI0029443
Cpi-Let-7-P2b4_pre	MI0029374
Cpi-Let-7-P2c1_pre	MI0029378
Cpi-Let-7-P2c2_pre	MI0029383
Cpi-Let-7-P2c3_pre	MI0029382
Cpi-Mir-1-P1_pre	MI0029384
Cpi-Mir-1-P2_pre	MI0029385
Cpi-Mir-1-P3_pre	MI0029533
Cpi-Mir-1-P4_pre	MI0029386
Cpi-Mir-10-P1a-v1_pre	MI0029395
Cpi-Mir-10-P1a-v2_pre	MI0029395
Cpi-Mir-10-P1b-v1_pre	MI0029396
Cpi-Mir-10-P1b-v2_pre	MI0029396
Cpi-Mir-10-P1c-v1_pre	MI0029397
Cpi-Mir-10-P1c-v2_pre	MI0029397
Cpi-Mir-10-P2a_pre	MI0029446
Cpi-Mir-10-P2b_pre	MI0029445
Cpi-Mir-10-P2c_pre	MI0029444
Cpi-Mir-10-P3a_pre	MI0029460
Cpi-Mir-10-P3b_pre	MI0029459
